2018-07-18 10:42:48,367 INFO   main [SpringBootTestContextBootstrapper] Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.best.rcs.move_file.MoveFileApplicationTests], using SpringBootContextLoader
2018-07-18 10:42:48,379 INFO   main [AbstractContextLoader] Could not detect default resource locations for test class [com.best.rcs.move_file.MoveFileApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2018-07-18 10:42:48,379 INFO   main [AnnotationConfigContextLoaderUtils] Could not detect default configuration classes for test class [com.best.rcs.move_file.MoveFileApplicationTests]: MoveFileApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2018-07-18 10:42:48,482 INFO   main [SpringBootTestContextBootstrapper] Found @SpringBootConfiguration com.best.rcs.move_file.MoveFileApplication for test class com.best.rcs.move_file.MoveFileApplicationTests
2018-07-18 10:42:48,488 INFO   main [SpringBootTestContextBootstrapper] Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2018-07-18 10:42:48,498 INFO   main [SpringBootTestContextBootstrapper] Could not instantiate TestExecutionListener [org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]. Specify custom listener classes or make the default listener classes (and their required dependencies) available. Offending class: [org/springframework/transaction/interceptor/TransactionAttribute]
2018-07-18 10:42:48,499 INFO   main [SpringBootTestContextBootstrapper] Could not instantiate TestExecutionListener [org.springframework.test.context.web.ServletTestExecutionListener]. Specify custom listener classes or make the default listener classes (and their required dependencies) available. Offending class: [javax/servlet/ServletContext]
2018-07-18 10:42:48,500 INFO   main [SpringBootTestContextBootstrapper] Could not instantiate TestExecutionListener [org.springframework.test.context.transaction.TransactionalTestExecutionListener]. Specify custom listener classes or make the default listener classes (and their required dependencies) available. Offending class: [org/springframework/transaction/interceptor/TransactionAttributeSource]
2018-07-18 10:42:48,501 INFO   main [SpringBootTestContextBootstrapper] Using TestExecutionListeners: [org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@658981e0, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@26adcd34, org.springframework.test.context.support.DirtiesContextTestExecutionListener@5c7b24c2, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@18aa6bfd, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@5c97bbb1, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@6da390f4, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@d81bb68, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@4036afc5, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@464dcf72]
2018-07-18 10:42:48,506 INFO   main [SpringBootTestContextBootstrapper] Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.best.rcs.move_file.MoveFileApplicationTests], using SpringBootContextLoader
2018-07-18 10:42:48,507 INFO   main [AbstractContextLoader] Could not detect default resource locations for test class [com.best.rcs.move_file.MoveFileApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
